飞机上遗失东西怎么找回？	三、旅客来电反映将物品遗失在飞机上,若是刚刚下机,可联系候机寻找。
长沙黄花机场免税店如何才能进去	1、机场免税店是针对国际航线的，拿着护照出了海关，才能进免税店。长沙黄花机场的免税店在长沙黄花机场的二号航站楼，国际出发过了安检后就可以看到免税店。2、凡进、出机场的旅客无论在免税行出境免税店或进境免税店购买免税品均需出示登机牌和护照。免税店主要针对的对象是因公出国人员、远洋海员、华侨、外籍华人、港澳台同胞、出国探亲的中国公民及在国内的外国专家等。3、每个国家的免税店购物方式都不太一样，比如在韩国免税店购物，就要提供护照和回程机票，买完东西如果是韩国品牌可以带走，如果是外国品牌则不能带走，要在回程时在机场提货，有金额限制。扩展资料免税店的多种模式1、多模式免税店引归国客随着全面深化改革的持续推进、上海自贸区的设立，一些新型的贸易模式和创新的监管模式得到试验并开始复制推广。根据笔者的观察，目前国内已有一些区域开始尝试在综合保税区等特殊监管区域内设置免税店，以最大程度地利用综保区保税、免税的优惠政策。2、横琴模式（1）珠海横琴的目标是学习海南省离岛免税政策，根据广东省公布的《珠三角旅游一体化规划》，将争取国家批准设立南沙、横琴两大免税购物中心，打造“购物天堂”，广东有意在南沙和横琴争取类似于海南岛的“离岛免税”政策，具体方案还在研究中。（2）横琴新区毗邻澳门，面积为106.46平方公里，是澳门现有面积的3倍，计划打造一个综合性的商业中心，其中包括免税购物，利用优势地理位置，使内地游客不用出关去澳门亦可享受到离境待遇，这个规划需要国家政策上的突破。（3）2014年12月12日，国务院总理李克强主持召开国务院常务会议，提出在广东、天津、福建特定区域再设立三个自由贸易园区，这将有利于横琴免税购物中心的建立。3、重庆模式（1）作为跨境电子商务试点城市之一的重庆，在进口商品销售方面具有政策优势。如今，重庆同时开设有传统模式免税店和保税展示销售的保税店。（2）重庆中服免税店面积2000平方米，与其他地区免税店类似主要销售奢侈品、名品、珠宝等，同样对于购买者有严格的限制。（3）而位于重庆解放碑环球金融中心的爱购保税店(IGET)是重庆保税港区的保税展示销售延展平台，采用O2O模式经营，线上提供了完善的体验环境，客户可以对商品进行全面的了解。（4）爱购保税店充分利用跨境电子商务试点的优势，实现线上展示，线下交易。保税店不同于免税店，商品需要正常征收关税，但相比商场而言，由于充分利用保税港区政策价格相对较低，且按照跨境电子商务试点规定，个人购买也可以征收行邮税。4、上海模式（1）开免税店不是上海自贸区关注的重点，亦不符合自贸区建设初衷，如今自贸区内没有考虑开设免税商店，不会复制离岛免税模式。上海长沙黄花机场综合保税区已由日上免税行开办了免税店。（2）该免税店主要经营进口香水、化妆品，将分免税、含税两大类型销售，和航站楼内的免税店不同，游客可以凭借出境的有关证件预订商品，由店家负责送到机场相关区域，境内外游客可以在出入境时提取商品，这样游客可以有充裕的时间进行选购。该免税店目前处于试运行阶段，必须使用会员卡购买。参考资料：百度百科-免税店
无人陪伴儿童机票怎么算	无成人陪伴儿童:是指年龄五周岁(含)至十二周岁(不含)的无成人陪伴的、单独乘机的儿童。五周岁以下的无成人陪伴儿童原则上不予接受;无陪儿童服务一般需要旅客购买无陪儿童机票且向相应航司申请无陪儿童服务。没有任何证件的无陪儿童买机票与航空公司营业部联系,如果买到UM票。可以办理无陪。旅客可凭无陪申请单到机场联系八千四百七十九万七千三百七十三办理相关手续;如果是南航航班,可以到A岛问询柜台咨询工作人,或者咨询八千四百七十九万九千三百三十三。送机的无陪儿童家长一般要求留在机场,直到飞机起飞才可以离开。若小孩已过安检,或者已经登机,航班延误时间较长还未起飞,家长担心小孩状况的情况下,可以让家长拨打八千四百七十九万七千三百七十三咨询。如果是南航航班,可以到A岛问询柜台咨询工作人,或者咨询八千四百七十九万九千三百三十三。为无成人陪伴儿童办理乘机手续,座位安排应根据以下原则:安排在便于指定的随机服务员或乘务员照料的适当位置;靠近机上厨房,最好是过道座位;若有可能,与其他旅客分开座位;若座位满座,应安排与女乘客一起的座位;不得安排在紧急出口的座位。国航五-十八岁的未成年人都可以申请无陪服务,五-十二岁免费,十二-十八岁的如果需要无陪服务,需收取二百元每人每次的服务费。厦航无陪服务长沙受理点:1.市内售票处(长沙市芙蓉中路二段一百三十六号)TEL:八千五百一十六万八千二百六十八/八千五百五十六万五千七百七十七2.厦航机场售票柜台(长沙黄花国际机场T二航站楼国内出发厅一号和二号门之间)
怎样投诉长沙机场安检	机场举报电话：073112388
长沙黄花机场T3航站楼临时身份证	黄花机场机公安办理临时乘机证明的位置:T二航站楼安检十六号通道边设有办理柜台
机票定了，身份证丢了怎么坐飞机？	一、目前,只实现了湖南省内公民的电子身份证在长沙黄花国际机场过安检,其他省份的会陆续开放。
长沙黄花机场T1航站楼国际出发安检里面有可以躺着的地方吗？类似于计时收费的客房之类的	长沙黄花机场一号航站楼国内出发和国际出发在同一个楼层，都在三层。T1航站楼主要是用于国内航班起落用的，一楼是到达层，有国内和国际港澳台两个到达出口。二楼是去磁悬浮列车，地铁和长途汽车的必经通道。三层是出发层。长沙黄花机场T1航站楼流程改造工程于2012年底竣工，新增建筑面积约6.8万平方米，于2016年上半年投入使用。旅客安检通道由原来的敞开式变为封闭式，安检通道设置由原来的平行式改为错落型设置，新增了综合受理台，此外，安检宣传标识、一米黄线和极限地标、爱心通道和特殊旅客通道标识更加清晰醒目。
长沙黄花机场，下飞机后还能去免税店吗？	可以北京长沙黄花机场，下飞机后是可以去免税店的，但是只能在下飞机的航站楼购物。免税店一般不在外面，都是在里面候机大厅或者刚到达的那个区域，没有办理机票值机的话，无法进入那个区域的。假如你在T2下飞机，就只能在T2的免税店买东西了。记得，下了飞机一定要找到免税店，不要先出关，如果出来了，就无法再进去了，也就买不了东西了。
长沙黄花机场登机流程	一、航班起飞前四十分钟开始登机,航班起飞前十五分钟停止登机,开始登机时机场中央大广播会自动播放登机广播,主要是催促已经办理值机手续但还未过安检的旅客尽快过安检,开始登机后登机口也会有相应区域广播,主要是航班动态、登机口变更以及催促旅客登机广播,该广播覆盖范围有限,若旅客离开登机口则有可能听不到。若旅客来电质疑没有听到广播通知,中央大广播记录可联系广播室查询,登机口区域广播可联系候机查询,但广播录音均不可对外。
柬埔寨 落地签 可以在长沙黄花机场出关吗？	一月二十八日开始,包括泰国在内的三十七个国家对中国实行有条件落地签,对中国公民持普通护照赴上述国家(地区),出入境边防检查机关查验有效护照和定妥座位的联程客票(直飞航班查验登机牌)无误后放行。须提醒旅客,落地签并非免签,请旅客出发前了解目的国落地签办理相关政策,做好相关准备。
深圳航空头等舱休息室在上海长沙黄花机场什么位置	南航有两个贵宾厅:1.头等舱休息室,一-七号安检口右边; 2.金银卡旅客休息室,三十一号登机口旁边。建议旅客到A岛问讯处咨询国内商务贵宾厅 三个隔离区外:一号贵宾厅,候机楼外连廊(此贵宾厅业务需要通过接待科预约)二号贵宾厅,候机楼外连廊为冠名厅企业和协议单位客户使用三号贵宾厅,A岛以北(到达层一号门旁的手扶梯上楼可见)网络预约休息厅V四,D值机岛旁(上梯梯可见)六号贵宾厅V六,T一航站楼二号门南侧头等舱贵宾厅 五个隔离区内:T一-一号头等舱休息室,进安检后往左约一百米;T一-二号头等舱休息室,进安检后往右约一百米;T一-三号头等舱休息室,位于十五号登机口旁;五号、六号商务休息室,位于老十八、十九号登机口附近;七号、八号、九号头等舱休息室,位于隔离区候机厅A岛附近;十号十四号由于品质提升,暂时未开放。十五号头等舱休息室,位于四十七-五十号登机口旁边;国际有三个国际贵宾厅,都在国际出发过安检后的左侧要根据旅客的登机口,然后选择就近的贵宾休息室,建议旅客找到现场贵宾厅工作人员指引相应位置
长沙黄花机场，T1到T2有多远	机场始发的机场大巴从T二始发,经停T一,行驶时间约五分钟;市内大巴到达机场后皆先停靠T二,最后开至T一。
长沙黄花机场，T1到T2需要多长时间	机场始发的机场大巴从T二始发,经停T一,行驶时间约五分钟;市内大巴到达机场后皆先停靠T二,最后开至T一。
长沙黄花机场T3免费WIFI怎么用	选择无线网络Airport Free WiFi，通过浏览器打开任意网站，手机短信认证或微信认证，即可成功登录
60岁以上老人坐飞机有什么特殊的规定吗？	目前各个航空公司(除国航、深航、厦航、河北航、山东航、西藏航外)针对七十岁以上的老人乘机可以申请办理无陪老人服务(长沙始发海航航班不可办理无陪老人服务。但是如果旅客在现场柜台申请,年龄在七十岁以上,工作人员确实觉得老人身体没有问题,情况比较特殊,柜台会酌情考虑。不建议告知旅客。)但根据各航空公司规定,部分航空公司会要求老年旅客签署“航空运输免责单”;如有其他特殊情况或要求,旅客可以直接与航空公司联系。
上海长沙黄花机场分的T1 T2是什么意思？	一、T二航站楼位于T二航站楼到达层共设立十二个站牌现已启用九个站牌二、T一航站楼位于T一航站楼到达层共设立五个站牌
长沙黄花机场没有办泰国签证白本放行吗	一月二十八日开始,包括泰国在内的三十七个国家对中国实行有条件落地签,对中国公民持普通护照赴上述国家(地区),出入境边防检查机关查验有效护照和定妥座位的联程客票(直飞航班查验登机牌)无误后放行。须提醒旅客,落地签并非免签,请旅客出发前了解目的国落地签办理相关政策,做好相关准备。
长沙黄花机场机场邮寄包裹	快递服务：T一邮政快递位置：安检通道后方右侧；T二邮政快递位置：隔离区内十五号安检口后方；顺丰速运位置：出发层二号门旁
在长沙黄花机场是不是可以用长沙黄花机场的临时登机证明直接办理返京的临时登机证明？	b.异地机场开具的,有标注有效期的临时乘机证明,在有效期内可以在长沙机场直接使用。
长沙黄花机场小孩没有大人陪伴,怎样办理登机手续	无成人陪伴儿童:是指年龄五周岁(含)至十二周岁(不含)的无成人陪伴的、单独乘机的儿童。五周岁以下的无成人陪伴儿童原则上不予接受;无陪儿童服务一般需要旅客购买无陪儿童机票且向相应航司申请无陪儿童服务。没有任何证件的无陪儿童买机票与航空公司营业部联系,如果买到UM票。可以办理无陪。旅客可凭无陪申请单到机场联系八千四百七十九万七千三百七十三办理相关手续;如果是南航航班,可以到A岛问询柜台咨询工作人,或者咨询八千四百七十九万九千三百三十三。送机的无陪儿童家长一般要求留在机场,直到飞机起飞才可以离开。若小孩已过安检,或者已经登机,航班延误时间较长还未起飞,家长担心小孩状况的情况下,可以让家长拨打八千四百七十九万七千三百七十三咨询。如果是南航航班,可以到A岛问询柜台咨询工作人,或者咨询八千四百七十九万九千三百三十三。为无成人陪伴儿童办理乘机手续,座位安排应根据以下原则:安排在便于指定的随机服务员或乘务员照料的适当位置;靠近机上厨房,最好是过道座位;若有可能,与其他旅客分开座位;若座位满座,应安排与女乘客一起的座位;不得安排在紧急出口的座位。国航五-十八岁的未成年人都可以申请无陪服务,五-十二岁免费,十二-十八岁的如果需要无陪服务,需收取二百元每人每次的服务费。厦航无陪服务长沙受理点:1.市内售票处(长沙市芙蓉中路二段一百三十六号)TEL:八千五百一十六万八千二百六十八/八千五百五十六万五千七百七十七2.厦航机场售票柜台(长沙黄花国际机场T二航站楼国内出发厅一号和二号门之间)
长沙黄花机场哪里可以投诉	机场举报电话：073112388
怎么看行李在几号转盘	大厅的LED上会有航班号和对应的转盘号，按你的航班号找对应的转盘就可以了。机场行李托运具体有什么流程：操作方法1、首先进入机场找到相应的航空公司柜台办理托运，托运的物品超过20kg要按规定收取费用，为了省钱尽量少带不必要的物品，以免超重。2、办理托运时，柜台人员会对你的行李进行安全检查，所以必须确定你的行李不要带打火机、白酒、小刀等违禁物品。3、下了飞机后跟着人群走，到达一个地方会看见许多人站在那里等着，停下来，找到你的飞机的航班所在的行李岛，等着你的行李出来，出来了直接拿走就行。4、如果不放心，还可以找个空旷的地方检查一下自己的物品是否完好。
长沙黄花机场 忘带身份证 有公安局开的登机证明 要提前多长时间办理登机手续	e.临时登机证明可以提前来机场办理,在证明上标明有效期即可,在有效期以内都可以使用。
长沙黄花机场为什么连上了wifi却上不了网	选择无线网络Airport Free WiFi，通过浏览器打开任意网站，手机短信认证或微信认证，即可成功登录
如何投诉长沙黄花机场？	机场举报电话：073112388
衣服寄存在机场该怎么做	旅客帮乘机人代取寄存在安检的物品,如果旅客没有乘机人的身份证,寄存单遗失。如果旅客可以提供乘机人乘机日期,航班号码,物品名称和数量,及旅客的身份证,安检工作人员可以找到该物品,旅客可以领取到该寄存物品
小孩子坐飞机，无人陪伴，怎么办呢？	无成人陪伴儿童:是指年龄五周岁(含)至十二周岁(不含)的无成人陪伴的、单独乘机的儿童。五周岁以下的无成人陪伴儿童原则上不予接受;无陪儿童服务一般需要旅客购买无陪儿童机票且向相应航司申请无陪儿童服务。没有任何证件的无陪儿童买机票与航空公司营业部联系,如果买到UM票。可以办理无陪。旅客可凭无陪申请单到机场联系八千四百七十九万七千三百七十三办理相关手续;如果是南航航班,可以到A岛问询柜台咨询工作人,或者咨询八千四百七十九万九千三百三十三。送机的无陪儿童家长一般要求留在机场,直到飞机起飞才可以离开。若小孩已过安检,或者已经登机,航班延误时间较长还未起飞,家长担心小孩状况的情况下,可以让家长拨打八千四百七十九万七千三百七十三咨询。如果是南航航班,可以到A岛问询柜台咨询工作人,或者咨询八千四百七十九万九千三百三十三。为无成人陪伴儿童办理乘机手续,座位安排应根据以下原则:安排在便于指定的随机服务员或乘务员照料的适当位置;靠近机上厨房,最好是过道座位;若有可能,与其他旅客分开座位;若座位满座,应安排与女乘客一起的座位;不得安排在紧急出口的座位。国航五-十八岁的未成年人都可以申请无陪服务,五-十二岁免费,十二-十八岁的如果需要无陪服务,需收取二百元每人每次的服务费。厦航无陪服务长沙受理点:1.市内售票处(长沙市芙蓉中路二段一百三十六号)TEL:八千五百一十六万八千二百六十八/八千五百五十六万五千七百七十七2.厦航机场售票柜台(长沙黄花国际机场T二航站楼国内出发厅一号和二号门之间)
如何在长沙黄花机场t2航站楼办理临时身份证明	黄花机场机公安办理临时乘机证明的位置:T二航站楼安检十六号通道边设有办理柜台
无人陪伴儿童独自坐飞机需要办理什么手续？	无成人陪伴儿童:是指年龄五周岁(含)至十二周岁(不含)的无成人陪伴的、单独乘机的儿童。五周岁以下的无成人陪伴儿童原则上不予接受;无陪儿童服务一般需要旅客购买无陪儿童机票且向相应航司申请无陪儿童服务。没有任何证件的无陪儿童买机票与航空公司营业部联系,如果买到UM票。可以办理无陪。旅客可凭无陪申请单到机场联系八千四百七十九万七千三百七十三办理相关手续;如果是南航航班,可以到A岛问询柜台咨询工作人,或者咨询八千四百七十九万九千三百三十三。送机的无陪儿童家长一般要求留在机场,直到飞机起飞才可以离开。若小孩已过安检,或者已经登机,航班延误时间较长还未起飞,家长担心小孩状况的情况下,可以让家长拨打八千四百七十九万七千三百七十三咨询。如果是南航航班,可以到A岛问询柜台咨询工作人,或者咨询八千四百七十九万九千三百三十三。为无成人陪伴儿童办理乘机手续,座位安排应根据以下原则:安排在便于指定的随机服务员或乘务员照料的适当位置;靠近机上厨房,最好是过道座位;若有可能,与其他旅客分开座位;若座位满座,应安排与女乘客一起的座位;不得安排在紧急出口的座位。国航五-十八岁的未成年人都可以申请无陪服务,五-十二岁免费,十二-十八岁的如果需要无陪服务,需收取二百元每人每次的服务费。厦航无陪服务长沙受理点:1.市内售票处(长沙市芙蓉中路二段一百三十六号)TEL:八千五百一十六万八千二百六十八/八千五百五十六万五千七百七十七2.厦航机场售票柜台(长沙黄花国际机场T二航站楼国内出发厅一号和二号门之间)
长沙黄花机场到泰国自由行落地签证，需不需要酒店订单？	去泰国办理落地签证不需要酒店预订单，所需材料如下：1、有效期6个月以上的护照;2、一张4*6cm彩色免冠照片3、入境后15天之内有效的返程机票;4、入境时个人须携带外币价值不少于10000铢, 一家庭不少于20000铢;5、落地签申请表
长沙黄花机场身份证证明怎么办理取票	二、自助值机柜台只能刷二代身份证办理登机手续,若用其他有效证件购票,须手动输入相应有效证件的号码。自助值机终端无法办理有绑定婴儿旅客的其他旅客的登机牌。
航班上丢失物品应到哪里寻,是始发机场还是目的地机场	三、旅客来电反映将物品遗失在飞机上,若是刚刚下机,可联系候机寻找。
机场快线如何购票。	磁浮可以使公交地铁卡直接刷卡通行,操作系统跟地铁是一样的,刷卡享受九折。
针对不同特殊旅客的照顾方式	需要轮椅服务的旅客建议提前向航空公司申请。在办理手续时需要出具医疗部门出具的适宜乘机“诊断证明书”和“特殊旅客乘机申请书”;旅客自带轮椅需要办理行李托运手续,轮椅的重量一般不计入旅客的免费行李额内;旅客在隔离区内必须使用机场提供的轮椅。
长沙黄花机场航站楼即下即走，禁止等待自动拍照会不会被罚	长沙黄花国际机场限时5分钟停车落客管理正式启用，对超时驶离的小型机动车辆，抓拍系统将自动进行抓拍，给予驾驶员罚款100元、记3分的处罚。
长沙黄花机场可以带轮椅吗	需要轮椅服务的旅客建议提前向航空公司申请。在办理手续时需要出具医疗部门出具的适宜乘机“诊断证明书”和“特殊旅客乘机申请书”;旅客自带轮椅需要办理行李托运手续,轮椅的重量一般不计入旅客的免费行李额内;旅客在隔离区内必须使用机场提供的轮椅。
老人不识字，不知道怎么登记，可以送到上飞机吗?或是机场有人帮忙送上机吗？花钱也可以	老年旅客乘机首先要确认老人身体健康状况是否适应乘机,身体健康的老人有人陪同即可,建议带上医生诊断证明。如果老人身体健康状况欠佳或者无人陪同,建议旅客提前向航司申请,经航司同意后机场才能提供相应的服务。
长沙黄花机场退税流程	目前，境外旅客凭销售发票和购物离境退税申请单，就可以直接在长沙黄花国际机场、张家界荷花国际机场进行海关验核后办理退税。
长沙黄花机场拿公安局开的证明或者临时身份证安检给登机麽,我的身份证不见了	有效乘机身份证件的种类包括:中国大陆地区居民的居民身份证、临时居民身份证、护照、军官证、文职干部证、义务兵证、士官证、文职人员证、职工证、武警警官证、武警士兵证、海员证,香港、澳门地区居民的港澳居民来往内地通行证,台湾地区居民的台湾居民来往大陆通行证;外籍旅客的护照、外交部签发的驻华外交人员证、外国人永久居留证;民航局规定的其他有效乘机身份证件。十六周岁以下的中国大陆地区居民的有效乘机身份证件,还包括出生医学证明、户口簿、学生证或户口所在地公安机关出具的身份证明。电子身份证生成以及使用步骤:一、关注“湖南公安服务平台”微信公众号二、首次登录请先填写个人准确信息进行注册三、实人视频认证四、【个人中心】,点击【电子证照】→ 【电子身份证】五、办理值机手续时,出示该电子身份证给值机员目测即可六、过安检时,点击下方的“电子证照登机”→“我的扫描二维码”,把手机对准闸口扫描二维码,正脸平视验证摄像头即可。注意事项:一、目前,只实现了湖南省内公民的电子身份证在长沙黄花国际机场过安检,其他省份的会陆续开放。二、安检时扫描二维码注意有效时限,过期请刷新三、目前机场开通的电子身份证使用安检通道,仅为T一的一号安检通道与T二的六号与十五号安检通道
机场那个退税是什么个意思？	购物退税是指对境外游客在退税定点商店购买的随身携运出境的退税物品，按规定退税的政策。
在长沙黄花机场办理临时登机证问题	黄花机场机公安办理临时乘机证明的位置:T二航站楼安检十六号通道边设有办理柜台
长沙黄花机场川航是不是有专车接去机场的？怎样联系呢？	川航专车送机服务：如果您乘坐中午12时前由成都出发的航班，需要在航班出发前一日的22时前进行电话预约，其余航班则至少需在航班起飞时刻4小时前进行预约；预约时请提供您的姓名、乘机日期、航班号和票价舱位，确定二环路内的上车地点并留下您的联系电话。
怎样投诉长沙黄花机场深圳航空	机场举报电话：073112388
现在长沙黄花机场边检没有签证，到泰国办落地签吗可以吗	一月二十八日开始,包括泰国在内的三十七个国家对中国实行有条件落地签,对中国公民持普通护照赴上述国家(地区),出入境边防检查机关查验有效护照和定妥座位的联程客票(直飞航班查验登机牌)无误后放行。须提醒旅客,落地签并非免签,请旅客出发前了解目的国落地签办理相关政策,做好相关准备。
直接用护照买机票从长沙黄花国际机场飞往澳门可以吗?	持中国护照不能直接去澳门并返回内地，这是澳门开放给持中国护照和赴台证的旅客经过澳门搭飞机前往其他国家、地区的过境政策。
长沙黄花机场一个人能带两个行李托运吗	国际航班其他航线免费行李额与国内航班相同,免费托运二十KG,不限件数;
长沙黄花机场T2可以头天晚上办第二天早上6:20的登机牌托运吗？	国内值机时间:值机柜台是全开放式,所有旅客可以在航班起飞前三小时开始办理值机手续,起飞前四十分钟停止办理。国际航班值机:柜台是分不同的航空公司开放,二百坐以下的飞机起飞前二小时开始办理值机手续,二百以上提前三小时开始办理值机手续,提前四十分钟结束办理,亚航国际航班提前一小时截止办理登机牌。
L签证能从长沙黄花机场直接坐中港通去香港吗	如果旅客是长沙到香港的航班,持L签可以自由行出发。
在长沙黄花坐飞机忘记带身份证怎么办？	一、目前,只实现了湖南省内公民的电子身份证在长沙黄花国际机场过安检,其他省份的会陆续开放。
机场安检时丢了东西怎么办？	旅客在安检处落下的东西会在当天移交失物招领处。
乘坐四川航空的飞机有免费机场送机吗？	川航专车送机服务：如果您乘坐中午12时前由成都出发的航班，需要在航班出发前一日的22时前进行电话预约，其余航班则至少需在航班起飞时刻4小时前进行预约；预约时请提供您的姓名、乘机日期、航班号和票价舱位，确定二环路内的上车地点并留下您的联系电话。
机场办的临时身份证能在别的机场能用吗	b.异地机场开具的,有标注有效期的临时乘机证明,在有效期内可以在长沙机场直接使用。
老年人独自坐飞机，航班有特殊陪护吗？	老年旅客:是指年迈体弱,虽然身体并未患病但在航空旅行中需要他人帮助的老年人。老年旅客乘机首先要确认老人身体健康状况是否适应乘机,身体健康的老人有人陪同即可,建议带上医生诊断证明。如果老人身体健康状况欠佳或者无人陪同,建议旅客提前向航司申请,经航司同意后机场才能提供相应的服务。目前各个航空公司(除国航、深航、厦航、河北航、山东航、西藏航外)针对七十岁以上的老人乘机可以申请办理无陪老人服务(长沙始发海航航班不可办理无陪老人服务。但是如果旅客在现场柜台申请,年龄在七十岁以上,工作人员确实觉得老人身体没有问题,情况比较特殊,柜台会酌情考虑。不建议告知旅客。)但根据各航空公司规定,部分航空公司会要求老年旅客签署“航空运输免责单”;如有其他特殊情况或要求,旅客可以直接与航空公司联系。
怎样才可以进入贵宾室？	(非头等舱、非金银卡)客户可通过支付现金的方式获取贵宾服务,包括南航旅客,也可承接国际航班的贵宾服务;
身份证丢了，从长沙黄花机场坐飞机怎么办	一、目前,只实现了湖南省内公民的电子身份证在长沙黄花国际机场过安检,其他省份的会陆续开放。
长沙黄花机场有没有接送机服务的？	专人接送机,代办出港值机手续;
哪里有长沙黄花机场的接送机服务?	专人接送机,代办出港值机手续;
儿童无成人陪同怎么乘机?	无成人陪伴儿童:是指年龄五周岁(含)至十二周岁(不含)的无成人陪伴的、单独乘机的儿童。五周岁以下的无成人陪伴儿童原则上不予接受;无陪儿童服务一般需要旅客购买无陪儿童机票且向相应航司申请无陪儿童服务。没有任何证件的无陪儿童买机票与航空公司营业部联系,如果买到UM票。可以办理无陪。旅客可凭无陪申请单到机场联系八千四百七十九万七千三百七十三办理相关手续;如果是南航航班,可以到A岛问询柜台咨询工作人,或者咨询八千四百七十九万九千三百三十三。送机的无陪儿童家长一般要求留在机场,直到飞机起飞才可以离开。若小孩已过安检,或者已经登机,航班延误时间较长还未起飞,家长担心小孩状况的情况下,可以让家长拨打八千四百七十九万七千三百七十三咨询。如果是南航航班,可以到A岛问询柜台咨询工作人,或者咨询八千四百七十九万九千三百三十三。为无成人陪伴儿童办理乘机手续,座位安排应根据以下原则:安排在便于指定的随机服务员或乘务员照料的适当位置;靠近机上厨房,最好是过道座位;若有可能,与其他旅客分开座位;若座位满座,应安排与女乘客一起的座位;不得安排在紧急出口的座位。国航五-十八岁的未成年人都可以申请无陪服务,五-十二岁免费,十二-十八岁的如果需要无陪服务,需收取二百元每人每次的服务费。厦航无陪服务长沙受理点:1.市内售票处(长沙市芙蓉中路二段一百三十六号)TEL:八千五百一十六万八千二百六十八/八千五百五十六万五千七百七十七2.厦航机场售票柜台(长沙黄花国际机场T二航站楼国内出发厅一号和二号门之间)
长沙黄花机场T1T2的贵宾室需要什么卡进去？	凭常旅客卡可进入头等舱休息室及免费行李额度:ZH 凤凰知音金卡、白金卡,星空联盟金卡/白金卡/都可携带一名随行,免费行李四十KG,银卡客户只能享受四十KG免费行李;FM 东方万里行白金卡/金卡:可携带 一人.  东方万里行银卡:限本人金鹤金卡本人;MF 白鹭黑钻卡:可携带二人 白金卡:可携带一人 金卡:限本人使用 老版白鹭银卡见卡接待:限本人使用(使用截止日期2018.12.31),免费行李四十KG;HU 金鹏白金可带二人进入、金卡可带一人进入、银卡限本人使用;新金鹿卡CA 凤凰知音终生白金卡、金卡、白金卡,星空联盟金卡/白金卡/都可携带一名随行,终生白金卡、白金卡免费行李三十KG;MU 东方万里行白金卡/金卡:可携带 一人.  东方万里行银卡:限本人金鹤金卡本人;
长沙黄花机场和长沙黄花机场T1是什么意思	一、T二航站楼位于T二航站楼到达层共设立十二个站牌现已启用九个站牌二、T一航站楼位于T一航站楼到达层共设立五个站牌
长沙黄花机场的贵宾休息室是头等舱休息室吗	南航有两个贵宾厅:1.头等舱休息室,一-七号安检口右边; 2.金银卡旅客休息室,三十一号登机口旁边。建议旅客到A岛问讯处咨询国内商务贵宾厅 三个隔离区外:一号贵宾厅,候机楼外连廊(此贵宾厅业务需要通过接待科预约)二号贵宾厅,候机楼外连廊为冠名厅企业和协议单位客户使用三号贵宾厅,A岛以北(到达层一号门旁的手扶梯上楼可见)网络预约休息厅V四,D值机岛旁(上梯梯可见)六号贵宾厅V六,T一航站楼二号门南侧头等舱贵宾厅 五个隔离区内:T一-一号头等舱休息室,进安检后往左约一百米;T一-二号头等舱休息室,进安检后往右约一百米;T一-三号头等舱休息室,位于十五号登机口旁;五号、六号商务休息室,位于老十八、十九号登机口附近;七号、八号、九号头等舱休息室,位于隔离区候机厅A岛附近;十号十四号由于品质提升,暂时未开放。十五号头等舱休息室,位于四十七-五十号登机口旁边;国际有三个国际贵宾厅,都在国际出发过安检后的左侧要根据旅客的登机口,然后选择就近的贵宾休息室,建议旅客找到现场贵宾厅工作人员指引相应位置
长沙黄花机场如何办理登机手续	国内值机时间:值机柜台是全开放式,所有旅客可以在航班起飞前三小时开始办理值机手续,起飞前四十分钟停止办理。国际航班值机:柜台是分不同的航空公司开放,二百坐以下的飞机起飞前二小时开始办理值机手续,二百以上提前三小时开始办理值机手续,提前四十分钟结束办理,亚航国际航班提前一小时截止办理登机牌。
怎样为老人单独坐飞机申请无陪护服务	目前各个航空公司(除国航、深航、厦航、河北航、山东航、西藏航外)针对七十岁以上的老人乘机可以申请办理无陪老人服务(长沙始发海航航班不可办理无陪老人服务。但是如果旅客在现场柜台申请,年龄在七十岁以上,工作人员确实觉得老人身体没有问题,情况比较特殊,柜台会酌情考虑。不建议告知旅客。)但根据各航空公司规定,部分航空公司会要求老年旅客签署“航空运输免责单”;如有其他特殊情况或要求,旅客可以直接与航空公司联系。
东西在候机大厅丢了，可以通过监控查找吗	旅客在安检处落下的东西会在当天移交失物招领处。
请问一下，长沙黄花机场有没有提供免费轮椅？？？	需要轮椅服务的旅客建议提前向航空公司申请。在办理手续时需要出具医疗部门出具的适宜乘机“诊断证明书”和“特殊旅客乘机申请书”;旅客自带轮椅需要办理行李托运手续,轮椅的重量一般不计入旅客的免费行李额内;旅客在隔离区内必须使用机场提供的轮椅。
如何享受机场贵宾厅	除了海航的A舱和南航外的其他航空公司的折扣头等舱都可以享受地面贵宾厅服务。
长沙黄花机场儿童无人陪同机票接人要办理什么才可以接	无陪儿童服务一般需要旅客购买无陪儿童机票且向相应航司申请无陪儿童服务。没有任何证件的无陪儿童买机票与航空公司营业部联系,如果买到UM票。可以办理无陪。旅客可凭无陪申请单到机场联系八千四百七十九万七千三百七十三办理相关手续;如果是南航航班,可以到A岛问询柜台咨询工作人,或者咨询八千四百七十九万九千三百三十三。
长沙黄花机场怎么打身份证明？	黄花机场机公安办理临时乘机证明的位置:T二航站楼安检十六号通道边设有办理柜台
长沙黄花机场免税店国内航班能进去么？	国内航班旅客无法进入免税店
